model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
Chronos-2 joint (con X),0,18,0.15681939526938515,12.530890234836585,12.530420777099556,3.5398334391747244,2.720425072131629,1.9853671185513768,0.772,0.954,8.903236083984375,16.86464359378815,12.823842787989587,19.574092639149384
Chronos-2 joint (con X),0,avg_all,0.11611200065939532,8.488291578642805,8.488421884975597,2.83664762329707,2.246821309079885,1.599442091472784,0.7716666666666666,0.9567777777777777,6.867230636914571,12.483425174342262,10.070783501345545,14.569323852460784
Chronos-2 joint (con X),1,1,0.006394782078611502,1.2120804073891231,1.20969713981218,1.099862327662958,0.8771906538418356,0.6233856202712226,0.806,0.98,2.831219055175781,5.556293395042419,3.9271825730854815,5.874438933049189
Chronos-2 joint (con X),1,2,0.03364482451966436,2.3370918509237297,2.33354964143884,1.5275960334587282,1.203933920656374,0.8603989193391542,0.774,0.97,3.7893040771484374,7.053544137477875,5.438671450728311,7.733864543434315
Chronos-2 joint (con X),1,3,0.03239913526931368,3.308422187304246,3.3028550468958366,1.8173758683596073,1.4313847151423604,1.0233929622814817,0.794,0.962,4.597159820556641,8.350039425849914,6.559911787570682,9.094936260334638
Chronos-2 joint (con X),1,4,0.013900143032962147,4.027219862100264,4.0193586363524005,2.0048338176398564,1.5863969951461616,1.1338841418257228,0.784,0.96,5.1524296875,9.278260187149048,7.303256413879156,10.338060936282059
Chronos-2 joint (con X),1,5,0.111919641479774,5.391075395675939,5.39281925103355,2.32224444256705,1.8486293195365735,1.3145654737384627,0.766,0.952,5.5553416137695315,9.997808779716491,8.308766148532346,12.06984002337097
Chronos-2 joint (con X),1,6,0.09098563612187209,6.104806284927407,6.100875058338051,2.469994951075417,1.9449180213670925,1.3853568053527323,0.756,0.958,5.877553009033203,10.507444222450257,8.745396276384508,12.026863011945206
Chronos-2 joint (con X),1,7,0.11089542233970816,6.711172879715622,6.710048328652094,2.5903760979155313,2.002079922308514,1.451967184317559,0.746,0.956,6.2072489624023435,11.079555260658264,9.262432594515356,12.81252575718542
Chronos-2 joint (con X),1,8,0.09478156723587446,7.814656464886476,7.808010697444398,2.7942817856194098,2.206215783314429,1.5689068692097952,0.74,0.952,6.465301513671875,11.541911318778991,9.852889049946487,13.431201630622136
Chronos-2 joint (con X),1,9,0.04759768117754292,8.426946749006186,8.412358394761641,2.90040659128365,2.2896518839531965,1.6244533453927819,0.748,0.942,6.621179077148438,11.876511882781982,10.168614495869761,14.504144275512708
Chronos-2 joint (con X),1,10,0.05039629798742894,8.773035434995608,8.758029150976444,2.9593967545728717,2.3539407443219353,1.666454622663868,0.75,0.94,6.809843170166015,12.127823839187622,10.497964014008696,14.549703426022473
Chronos-2 joint (con X),1,11,0.10111565293615828,8.161002973443692,8.15490534276551,2.8556794888021853,2.22249438008208,1.6009159579045218,0.774,0.946,7.025775695800781,12.579637845039368,10.294497460021647,14.692475546086126
Chronos-2 joint (con X),1,12,0.055778671724106596,8.365856995043023,8.352236541272235,2.890023622960933,2.2863789371788834,1.6329582877741489,0.764,0.954,7.218883422851563,12.93296576499939,10.362498006078482,14.792810523326194
Chronos-2 joint (con X),1,13,0.015611090992181754,8.488073942003398,8.471341500281357,2.910556905521924,2.298886334774027,1.6373499759431314,0.79,0.962,7.3276232299804684,13.175137247085571,10.376337946396038,15.011161726404888
Chronos-2 joint (con X),1,14,0.006315077934475544,9.241455249347108,9.223012219057736,3.0369412603897588,2.4128691092495536,1.716839456482698,0.77,0.95,7.4949609069824215,13.464024440765382,10.95375545660388,15.923104885583278
Chronos-2 joint (con X),1,15,-0.020329391206835717,9.109557956748358,9.091752124981701,3.0152532439219266,2.3437863798977014,1.6987980863842143,0.77,0.956,7.536498046875,13.564116844177246,11.008143785638088,16.428143795337338
Chronos-2 joint (con X),1,16,-0.01629063559752022,10.04729619330343,10.027466985724987,3.1666175938570458,2.4724326436411608,1.7841861991342525,0.762,0.954,7.646040802001953,13.832417469024659,11.53042787508938,16.86759955124739
Chronos-2 joint (con X),1,17,0.06836156047900242,10.007822575726887,9.992480233526537,3.1610884570866626,2.4624003419662115,1.7767618644080714,0.776,0.952,8.118462768554688,15.363800337791442,11.529774532479362,17.928649724734626
Chronos-2 joint (con X),1,18,0.10854409652427395,10.147428433370264,10.138915397393802,3.1841663583100996,2.4922661963787047,1.7980645786117755,0.798,0.954,8.225381378173829,15.578483911514283,11.665198880489745,17.778632250019008
Chronos-2 joint (con X),1,avg_all,0.050667847501588606,7.093055657550598,7.0833173161505165,2.59481642227809,2.0408809045976,1.4610355750575328,0.7704444444444445,0.9555555555555556,6.361122568766276,11.547765350527234,9.321428819295411,13.436564266694331
